experiment_key,Accuracy,Precision,Recall,F1_Score
SKAB_seed_999_fold_4_CNN1D_noisy,0.695789950203712,0.8625,0.21113831089351284,0.3392330383480826
SKAB_seed_999_fold_4_Automata_noisy,0.6344110332353606,0.3492063492063492,0.01376720901126408,0.026490066225165563
SKAB_seed_999_fold_4_Automata_unseen,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_999_fold_5_LSTM_original,0.6382086918155747,0.23333333333333334,0.013190954773869347,0.02497027348394768
SKAB_seed_999_fold_5_GRU_original,0.6366644606221046,0.23300970873786409,0.01507537688442211,0.02831858407079646
SKAB_seed_999_fold_5_CNN1D_original,0.6161482461945731,0.314070351758794,0.0785175879396985,0.12562814070351758
SKAB_seed_999_fold_5_Automata_original,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_999_fold_5_LSTM_noisy,0.6099713214206927,0.20068027210884354,0.03706030150753769,0.06256627783669141
SKAB_seed_999_fold_5_GRU_noisy,0.600044120891242,0.1833810888252149,0.04020100502512563,0.06594538897475528
SKAB_seed_999_fold_5_CNN1D_noisy,0.43657621883962056,0.2689721421709894,0.35175879396984927,0.30484485574305936
SKAB_seed_999_fold_5_Automata_noisy,0.5965182899955928,0.27569331158238175,0.10861182519280206,0.1558321807284463
SKAB_seed_999_fold_5_Automata_unseen,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
BATADAL_seed_42_LSTM_original,0.932285368802902,0.6458333333333334,0.9489795918367347,0.768595041322314
BATADAL_seed_42_GRU_original,0.9334945586457074,0.6503496503496503,0.9489795918367347,0.7717842323651453
BATADAL_seed_42_CNN1D_original,0.932285368802902,0.6458333333333334,0.9489795918367347,0.768595041322314
BATADAL_seed_42_Automata_original,0.8834134615384616,0.05263157894736842,0.0125,0.020202020202020204
BATADAL_seed_42_LSTM_noisy,0.9310761789600968,0.6413793103448275,0.9489795918367347,0.7654320987654321
BATADAL_seed_42_GRU_noisy,0.9334945586457074,0.6503496503496503,0.9489795918367347,0.7717842323651453
BATADAL_seed_42_CNN1D_noisy,0.9334945586457074,0.6503496503496503,0.9489795918367347,0.7717842323651453
BATADAL_seed_42_Automata_noisy,0.8822115384615384,0.15384615384615385,0.05,0.07547169811320754
BATADAL_seed_42_Automata_unseen,0.8834134615384616,0.05263157894736842,0.0125,0.020202020202020204
BATADAL_seed_123_LSTM_original,0.9286577992744861,0.6326530612244898,0.9489795918367347,0.7591836734693878
BATADAL_seed_123_GRU_original,0.9298669891172914,0.636986301369863,0.9489795918367347,0.7622950819672131
BATADAL_seed_123_CNN1D_original,0.9334945586457074,0.6503496503496503,0.9489795918367347,0.7717842323651453
BATADAL_seed_123_Automata_original,0.8834134615384616,0.05263157894736842,0.0125,0.020202020202020204
